feeds_id,name,url,feed_type,media_id,media_name,media_url
1,Bits,http://bits.blogs.nytimes.com/rss2.xml,syndicated,1,New York Times,http://nytimes.com
2,DealBook,http://dealbook.blogs.nytimes.com/rss2.xml,syndicated,1,New York Times,http://nytimes.com
3,Essential Knowledge of the Day,http://feeds.feedburner.com/essentialknowledge,syndicated,1,New York Times,http://nytimes.com
4,NYT > Africa,http://www.nytimes.com/services/xml/rss/nyt/Africa.xml,syndicated,1,New York Times,http://nytimes.com
5,NYT > Americas,http://www.nytimes.com/services/xml/rss/nyt/Americas.xml,syndicated,1,New York Times,http://nytimes.com
6,NYT > Art & Design,http://www.nytimes.com/services/xml/rss/nyt/ArtandDesign.xml,syndicated,1,New York Times,http://nytimes.com
7,NYT > Arts,http://www.nytimes.com/services/xml/rss/nyt/Arts.xml,syndicated,1,New York Times,http://nytimes.com
8,NYT > Asia Pacific,http://www.nytimes.com/services/xml/rss/nyt/AsiaPacific.xml,syndicated,1,New York Times,http://nytimes.com
9,NYT > Automobiles,http://www.nytimes.com/services/xml/rss/nyt/Automobiles.xml,syndicated,1,New York Times,http://nytimes.com
10,NYT > Baseball,http://www.nytimes.com/services/xml/rss/nyt/Baseball.xml,syndicated,1,New York Times,http://nytimes.com
11,NYT > Books,http://www.nytimes.com/services/xml/rss/nyt/Books.xml,syndicated,1,New York Times,http://nytimes.com
12,NYT > Business,http://www.nytimes.com/services/xml/rss/nyt/Business.xml,syndicated,1,New York Times,http://nytimes.com
13,NYT > College Basketball,http://www.nytimes.com/services/xml/rss/nyt/CollegeBasketball.xml,syndicated,1,New York Times,http://nytimes.com
14,NYT > College Football,http://www.nytimes.com/services/xml/rss/nyt/CollegeFootball.xml,syndicated,1,New York Times,http://nytimes.com
15,NYT > Dining & Wine,http://www.nytimes.com/services/xml/rss/nyt/DiningandWine.xml,syndicated,1,New York Times,http://nytimes.com
16,NYT > Education,http://www.nytimes.com/services/xml/rss/nyt/Education.xml,syndicated,1,New York Times,http://nytimes.com
17,NYT > Environment,http://www.nytimes.com/services/xml/rss/nyt/Environment.xml,syndicated,1,New York Times,http://nytimes.com
18,NYT > Escapes,http://www.nytimes.com/services/xml/rss/nyt/Escapes.xml,syndicated,1,New York Times,http://nytimes.com
19,NYT > Europe,http://www.nytimes.com/services/xml/rss/nyt/Europe.xml,syndicated,1,New York Times,http://nytimes.com
20,NYT > Fashion & Style,http://www.nytimes.com/services/xml/rss/nyt/FashionandStyle.xml,syndicated,1,New York Times,http://nytimes.com
21,NYT > Golf,http://www.nytimes.com/services/xml/rss/nyt/Golf.xml,syndicated,1,New York Times,http://nytimes.com
22,NYT > Health,http://www.nytimes.com/services/xml/rss/nyt/Health.xml,syndicated,1,New York Times,http://nytimes.com
